,,,,,,,,
,,,,,,,,
,LOUNGE,LIGHT OFF,LIGHT ON,,,,,
,FAN OFF,Received 245775 / 21bit Protocol: 6,Received 245891 / 21bit Protocol: 6,,,,,
,FAN 1,Received 245858 / 21bit Protocol: 6,Received 245990 / 21bit Protocol: 6,,,,,
,FAN 2,Received 245825 / 21bit Protocol: 6,Received 245957 / 21bit Protocol: 6,,,,,
,FAN 3,Received 245792 / 21bit Protocol: 6,Received 245924 / 21bit Protocol: 6,,,,,
,,,,,,,,
,,,,,,,,
,TV,LIGHT OFF,LIGHT ON,,,,,
,FAN OFF,Received 229389 / 21bit Protocol: 6,Received 229505 / 21bit Protocol: 6,,,,,
,FAN 1,Received 229472 / 21bit Protocol: 6,Received 229604 / 21bit Protocol: 6,,,,,
,FAN 2,Received 229455 / 21bit Protocol: 6,Received 229571 / 21bit Protocol: 6,,,,,
,FAN 3,Received 229422 / 21bit Protocol: 6,Received 229538 / 21bit Protocol: 6,,,,,
,,,,,,,,
,NICK,Code,,,,,,
,LIGHT ON,Received 4529493 / 24bit Protocol: 1,???,,,,,
,LIGHT OFF,Received 4529493 / 24bit Protocol: 1,???,,,,,
,FAN 1,Received 4527957 / 24bit Protocol: 1,,,,,,
,FAN 2,Received 4535637 / 24bit Protocol: 1,,,,,,
,FAN 3,Received 4527453 / 24bit Protocol: 1,,,,,,
,FAN OFF,Received 4527447 / 24bit Protocol: 1,,,,,,